Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
A1CF	oncogene		COSMIC	1
ABI1	fusion,TSG	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ABL1	fusion,oncogene	BCR,NUP214,ETV6	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ABL2	fusion,oncogene	ETV6	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	5
ACKR3	fusion,oncogene,TSG	HMGA2	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ACSL3	fusion	ETV1	COSMIC,COSMIC CGC (v99)	2
ACSL6	fusion	ETV6	FOUNDATION ONE HEME,COSMIC	2
ACVR1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
ACVR1B	TSG		COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE,Vogelstein	5
ACVR2A	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
AFDN	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
AFF1	fusion	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
AFF3	fusion,oncogene	RUNX1,KMT2A	COSMIC,COSMIC CGC (v99)	2
AFF4	fusion,oncogene	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
AKAP9	fusion	BRAF	COSMIC	1
AKT1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AKT2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
AKT3	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
ALDH2	fusion,TSG	HMGA2	OncoKB Annotated,COSMIC	2
ALK	fusion,oncogene	SEC31A,C2orf22,ATIC,MSN,RANBP2,TPR,EML4,DCTN1,KLC1,VCL,TFG,C2orf44,PPFIBP1,STRN,TPM3,RNF213,CLTC,CARS,NPM1,TPM4,HIP1,KIF5B	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AMER1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
ANK1			COSMIC	1
APC	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
APOBEC3B	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
AR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ARAF	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
ARHGAP26	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ARHGAP35	oncogene,TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,COSMIC CGC (v99)	4
ARHGAP5	oncogene		COSMIC	1
ARHGEF10	TSG		COSMIC	1
ARHGEF10L	TSG		COSMIC	1
ARHGEF12	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ARID1A	fusion,TSG	MAST2	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ARID1B	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,Vogelstein	6
ARID2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein	7
ARNT	fusion,oncogene,TSG	ETV6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ASPM			COSMIC	1
ASPSCR1	fusion	TFE3	COSMIC,COSMIC CGC (v99)	2
ASXL1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ASXL2	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
ATF1	fusion,oncogene	FUS,EWSR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ATIC	fusion,oncogene	ALK	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ATM	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ATP1A1	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ATP2B3	TSG		COSMIC,COSMIC CGC (v99)	2
ATR	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
ATRX	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AXIN1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
AXIN2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
B2M	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	8
BAP1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BARD1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BAX	TSG		COSMIC,COSMIC CGC (v99)	2
BAZ1A	TSG		COSMIC	1
BCL10	fusion,TSG	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
BCL11A	fusion,oncogene	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
BCL11B	fusion,oncogene,TSG	TLX3	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
BCL2	fusion,oncogene	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BCL2L12	oncogene		COSMIC	1
BCL3	fusion,oncogene	IGH	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL6	fusion,oncogene	TFRC,SRSF3,IL21R,IG loci,CIITA,RHOH,LCP1,HSPCB,POU2AF1,ZNFN1A1,PIM1,HIST1H4I,EIF4A2,HSP90AA1,NACA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
BCL7A	fusion,TSG	MYC	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL9	fusion,oncogene	IGL,IGH	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL9L	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
BCLAF1			COSMIC	1
BCOR	fusion,TSG	RARA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BCORL1	oncogene,TSG		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BCR	fusion,oncogene	FGFR1,ABL1,JAK2	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BIRC3	fusion,oncogene,TSG	MALT1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
BIRC6	fusion,oncogene	ALK	COSMIC	1
BLM	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
BMP5			COSMIC	1
BMPR1A	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
BRAF	fusion,oncogene	AGTRAP,SND1,FAM131B,AKAP9,SLC45A3,FCHSD1,RNF130,CLCN6,GNAI1,MKRN1,LSM14A,CEP88,KIAA1549	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRCA1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRCA2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRD3	fusion,oncogene	NUTM1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
BRD4	fusion,oncogene	NUTM1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
BRIP1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BTG1	fusion,TSG	MYC	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BTG2	TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,FOUNDATION ONE	4
BTK	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BUB1B	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
C15orf65	fusion	CIITA	COSMIC	1
CACNA1D	oncogene		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CALR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CAMTA1	fusion,TSG	WWTR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
CANT1	fusion,oncogene	ETV4	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CARD11	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
CARS	fusion,TSG	ALK	COSMIC	1
CASP3	TSG		COSMIC	1
CASP8	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,Vogelstein,FOUNDATION ONE	8
CASP9	TSG		COSMIC	1
CBFA2T3	fusion,TSG	GLIS2,RUNX1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
